#Log file generated from the gvl1to2.py converter
#Original log file: geneve-cologny.gvsl
0,0$GVGNSVER,2,0,0
000026290,0$GVGNSP,000026290,46.200794,6.145991,0,0X03
#26290$GVGPSC,3,11.111111,291.000000,20
000026290,0$GVGNSC,000026290,11.111111,0,291.000000,0X05
#27291$GVGPSP,3,46.200825,6.145856,0
000027291,0$GVGNSP,000027291,46.200825,6.145856,0,0X03
#27291$GVGPSC,3,11.111111,290.000000,0
000027291,0$GVGNSC,000027291,11.111111,0,290.000000,0X05
#28293$GVGPSP,3,46.200862,6.145721,0
000028293,0$GVGNSP,000028293,46.200862,6.145721,0,0X03
#28293$GVGPSC,3,11.111111,291.000000,0
000028293,0$GVGNSC,000028293,11.111111,0,291.000000,0X05
#29310$GVGPSP,3,46.200893,6.145604,23
000029310,0$GVGNSP,000029310,46.200893,6.145604,0,0X03
#29310$GVGPSC,3,11.111111,290.000000,0
000029310,0$GVGNSC,000029310,11.111111,0,290.000000,0X05
#30322$GVGPSP,3,46.200925,6.145469,0
000030322,0$GVGNSP,000030322,46.200925,6.145469,0,0X03
#30322$GVGPSC,3,11.111111,289.000000,0
000030322,0$GVGNSC,000030322,11.111111,0,289.000000,0X05
#31324$GVGPSP,3,46.200962,6.145334,0
000031324,0$GVGNSP,000031324,46.200962,6.145334,0,0X03
#31324$GVGPSC,3,11.111111,290.000000,0
000031324,0$GVGNSC,000031324,11.111111,0,290.000000,0X05
#32331$GVGPSP,3,46.200993,6.145208,0
000032331,0$GVGNSP,000032331,46.200993,6.145208,0,0X03
#32331$GVGPSC,3,11.111111,295.000000,0
000032331,0$GVGNSC,000032331,11.111111,0,295.000000,0X05
#33344$GVGPSP,3,46.201037,6.145083,0
000033344,0$GVGNSP,000033344,46.201037,6.145083,0,0X03
#33344$GVGPSC,3,11.111111,295.000000,0
000033344,0$GVGNSC,000033344,11.111111,0,295.000000,0X05
#34357$GVGPSP,3,46.201080,6.144948,0
000034357,0$GVGNSP,000034357,46.201080,6.144948,0,0X03
#34357$GVGPSC,3,11.111111,299.000000,0
000034357,0$GVGNSC,000034357,11.111111,0,299.000000,0X05
#35361$GVGPSP,3,46.201124,6.144831,0
000035361,0$GVGNSP,000035361,46.201124,6.144831,0,0X03
#35361$GVGPSC,3,11.111111,299.000000,0
000035361,0$GVGNSC,000035361,11.111111,0,299.000000,0X05
#36364$GVGPSP,3,46.201173,6.144714,24
000036364,0$GVGNSP,000036364,46.201173,6.144714,0,0X03
#36364$GVGPSC,3,11.111111,300.000000,20
000036364,0$GVGNSC,000036364,11.111111,0,300.000000,0X05
#37366$GVGPSP,3,46.201223,6.144588,0
000037366,0$GVGNSP,000037366,46.201223,6.144588,0,0X03
#37366$GVGPSC,3,11.111111,299.000000,0
000037366,0$GVGNSC,000037366,11.111111,0,299.000000,0X05
#38373$GVGPSP,3,46.201267,6.144462,0
000038373,0$GVGNSP,000038373,46.201267,6.144462,0,0X03
#38373$GVGPSC,3,11.111111,300.000000,20
000038373,0$GVGNSC,000038373,11.111111,0,300.000000,0X05
#39376$GVGPSP,3,46.201317,6.144345,0
000039376,0$GVGNSP,000039376,46.201317,6.144345,0,0X03
#39376$GVGPSC,3,11.111111,301.000000,0
000039376,0$GVGNSC,000039376,11.111111,0,301.000000,0X05
#40379$GVGPSP,3,46.201366,6.144228,0
000040379,0$GVGNSP,000040379,46.201366,6.144228,0,0X03
#40379$GVGPSC,3,11.111111,300.000000,20
000040379,0$GVGNSC,000040379,11.111111,0,300.000000,0X05
#41385$GVGPSP,3,46.201416,6.144102,0
000041385,0$GVGNSP,000041385,46.201416,6.144102,0,0X03
#41385$GVGPSC,3,11.111111,300.000000,20
000041385,0$GVGNSC,000041385,11.111111,0,300.000000,0X05
#42387$GVGPSP,3,46.201454,6.143976,0
000042387,0$GVGNSP,000042387,46.201454,6.143976,0,0X03
#42387$GVGPSC,3,11.111111,279.000000,0
000042387,0$GVGNSC,000042387,11.111111,0,279.000000,0X05
#43389$GVGPSP,3,46.201466,6.143841,0
000043389,0$GVGNSP,000043389,46.201466,6.143841,0,0X03
#43389$GVGPSC,3,11.111111,272.000000,0
000043389,0$GVGNSC,000043389,11.111111,0,272.000000,0X05
#45391$GVGPSP,3,46.201466,6.143698,23
000045391,0$GVGNSP,000045391,46.201466,6.143698,0,0X03
#45391$GVGPSC,3,11.111111,273.000000,0
000045391,0$GVGNSC,000045391,11.111111,0,273.000000,0X05
#45391$GVGPSP,3,46.201460,6.143563,0
000045391,0$GVGNSP,000045391,46.201460,6.143563,0,0X03
#45391$GVGPSC,3,11.111111,254.000000,0
000045391,0$GVGNSC,000045391,11.111111,0,254.000000,0X05
#46393$GVGPSP,3,46.201435,6.143419,0
000046393,0$GVGNSP,000046393,46.201435,6.143419,0,0X03
#46393$GVGPSC,3,11.111111,254.000000,0
000046393,0$GVGNSC,000046393,11.111111,0,254.000000,0X05
#47398$GVGPSP,3,46.201366,6.143491,0
000047398,0$GVGNSP,000047398,46.201366,6.143491,0,0X03
#47398$GVGPSC,3,11.111111,123.000000,28
000047398,0$GVGNSC,000047398,11.111111,0,123.000000,0X05
#48401$GVGPSP,3,46.201323,6.143608,0
000048401,0$GVGNSP,000048401,46.201323,6.143608,0,0X03
#48401$GVGPSC,3,11.111111,112.000000,0
